Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Syracuse U Holds Green Chemistry Workshop for Teachers,Apr 5 2014 - 6:49pm,"April 8, 2014",Syracuse University,,"March 25, 2014",http://news.syr.edu/su-affirms-commitment-to-sustainable-science-with-green-chemistry-workshop-62415/,The recent teacher workshop with labs and hands-on activities targeted 24 area high schools to inspire students to pursue scientific careers and to encourage teachers to purchase more environmentally benign chemicals.,Public Engagement
U Georgia Installs Bike Repair Stations,Apr 3 2014 - 7:31pm,"April 8, 2014","University of Georgia, The",,"March 26, 2014",http://news.uga.edu/releases/article/university-of-georgia-installs-bicycle-repair-stations-0314/,"In an effort to support the use of bikes as transportation on campus, the new repair stops contain a tire pump, basic tools and helpful instructions.",Transportation
Champlain College Implements Sustainability Initiatives,Apr 3 2014 - 8:42pm,"April 8, 2014",Champlain College,,"March 26, 2014",http://www.champlain.edu/about-champlain/newsroom/sustain-champlain,"The university's Sustain Champlain organization spearheaded the recent Fair Trade designation, eliminated the distribution of plastic water bottles, and initiated car sharing.",Purchasing
U Florida to Install Three Solar Charging Stations,Apr 5 2014 - 6:38pm,"April 8, 2014",University of Florida,,"March 27, 2014",http://www.alligator.org/news/campus/article_76fc7f90-b569-11e3-be93-001a4bcf887a.html,"Spearheaded through the university's Society of Hispanic Professional Engineers, the soon to be installed, clean energy charging stations will have USB ports and the capacity to charge the equivalent of one and a half laptops at a time.",Energy
Cornell U Creates Faculty Director Endowments,Apr 21 2014 - 7:22pm,"April 22, 2014",Cornell University,,"March 27, 2014",http://www.sustainablecampus.cornell.edu/blogs/news/posts/new-atkinson-gift-enhances-sustainability-leadership,"The original funders of the David R. Atkinson Center for a Sustainable Future are now going to gift an endowment for the center's directorship and establish a challenge campaign to endow the center's three faculty director positions. For every $2 million a donor gives for a faculty director chair, the Atkinsons will contribute another $1 million to endow each of the three faculty leadership positions that oversee the center's three main research areas: energy, the environment and economic development.",Funding
Cornell U Upgrades Building Controls,Apr 21 2014 - 7:41pm,"April 29, 2014",Cornell University,,"March 27, 2014",http://www.sustainablecampus.cornell.edu/blogs/news/posts/duffield-hall-control-upgrade-energy-conservation-project-saves-221-500-550-tons-co2e-annually,"(U.S.): After a recent energy study found the controls of an energy intensive laboratory building to be malfunctioning, the new installed controls will reduce maintenance-associated cost and provide energy savings.",Energy
U Maryland to Help Community Overcome Challenges,Apr 3 2014 - 8:10pm,"April 15, 2014","University of Maryland, College Park",,"March 28, 2014",http://www.umdrightnow.umd.edu/news/outreach-program-puts-umd-work-md-communities,A new university program to begin in fall of 2014 called Partnership for Action Learning in Sustainability will offer students the opportunity to engage with specific sustainability-related community challenges with coursework tailored to reflect those challenges.,Public Engagement
U New Hampshire Holds Local Foods Expo,Apr 5 2014 - 9:45pm,"April 8, 2014",University of New Hampshire,,"March 28, 2014",http://www.tnhonline.com/news/local-nutritional-groups-spread-healthy-campus-options-1.3154793#.U0C45a1dV28,The university's inaugural Nutritional Expo focused on the importance of local foods while raising awareness for on-campus healthy options including the Farm to UNH farm food that is served in one of its dining halls.,Co-Curricular Education & Student Organizing
SUNY Oswego Implements Bike-Share Program,Apr 14 2014 - 12:13pm,"April 15, 2014",State University of New York at Oswego,,"March 28, 2014",http://www.oswego.edu/news/index.php/site/news_story/biking_encouraged,The new program provides refurbished bicycles to students up to a semester at a time to encourage fitness and cost savings while helping cut down on car trips.,Transportation
U Maryland Uses Moss to Clean Pool,Apr 3 2014 - 7:54pm,"April 15, 2014","University of Maryland, College Park",,"March 30, 2014",http://www.diamondbackonline.com/news/campus/article_a2fd3f44-b884-11e3-a938-0017a43b2370.html,"In an effort to reduce the amount of chemicals used to clean the university's pool, sphagnum moss aids in the cleaning process by stabilizing the pH, which makes the chlorine more effective.",Buildings
U Michigan Introduces Sustainable Food Initiative [VIDEO],Sep 26 2014 - 7:52pm,"September 30, 2014",University of Michigan,,"March 30, 2014",http://youtu.be/oiYdKql33iw,"(U.S.): Within this new initiative, the university committed to develop sustainable food as a discipline and added a minor in Sustainable Food Systems starting this Fall.",Curriculum
Penn State U Allocates $875K in Sustainability Proposals,Mar 5 2014 - 7:28pm,"April 1, 2014",Pennsylvania State University,,"April 1, 2014",http://sustainability.psu.edu/spotlight/penn-state-invests-876k-sustainability-projects-through-reinvention-fund,"The Reinvention Fund, the university's Sustainability Institute internal grant program, recently selected 22 winning proposals across its five campuses with over $102,000 going toward student submissions. The selected projects represent a tactical approach to fulfilling the university's living laboratory theme from its strategic plan.",Funding
NRDC Guide to Composting at Sports Venues,Mar 25 2014 - 5:31pm,"April 1, 2014",Natural Resources Defense Council,,"April 1, 2014",http://www.nrdc.org/greenbusiness/guides/sports/files/sports-venue-composting-guide.pdf,The newly released guide by the Natural Resources Defense Council has been produced to assist stadiums and arenas in increasing their diversion of food and yard wastes for beneficial use.,New Resources
C2C Fellows Sustainability Leadership Workshop,Mar 26 2014 - 10:28am,"April 1, 2014",,,"April 1, 2014",https://crm.orionondemand.com/crm/forms/zG0042c0708Ex6700kC725,"C2C Fellows weekend training workshop, April 25-27, sponsored by the Bard Center for Environmental Policy, focuses on concrete skills development, including fundraising and communication. This workshop is in partnership with the Southern Metropolitan Higher Education Consortium's 3rd annual Student Sustainability Summit http://www.southmetroed.org/index.php/events/2014-smhec-student-sustainability-summit.",Opportunities
2014 Climate Leadership Award Finalists Voting,Mar 26 2014 - 2:05pm,"April 1, 2014",Second Nature,,"April 1, 2014",http://www.secondnature.org/climate-leadership-awards,"Second Nature, in partnership with Planet Forward, invites voting for the national video competition in which the 2014 Climate Leadership Award finalists showcase the climate and sustainability innovation on their campus. Voting will take place from April 1-15.",Opportunities
ACUPCC Progress Report Video,Mar 26 2014 - 2:15pm,"April 1, 2014",Second Nature,,"April 1, 2014",http://acupcc.org/resources/reporting-timeline,"As part of its ACUPCC 101 Video Series, the American College and University Presidents' Climate Commitment recently released a video on creating and submitting your institution's Climate Action Plan progress report, which details the progression of carbon neutrality.",New Resources
Call for Entries: Student Sustainability Films,Mar 26 2014 - 3:41pm,"May 6, 2014 April 1, 2014",,,"April 1, 2014",http://mediamakingchange.org/about-the-fest/,"The Media Institute for Social Change is now accepting short film entries about programs and projects that the campus is doing to create sustainable solutions to environmental concerns. The winning film is awarded $1,000 cash.",Opportunities
National Action Plan for Educating for Sustainability,Mar 31 2014 - 12:26pm,"April 1, 2014",U.S. Green Building Council,Center for Green Schools,"April 1, 2014",http://www.centerforgreenschools.org/nationalactionplan,"Center for Green Schools, together with Houghton Mifflin Harcourt, released a National Action Plan for Educating for Sustainability, a call for action to ensure that Education for Sustainability (EfS) is accessible to all students across the United States. The plan outlines a robust goal for all 50 states to adopt a comprehensive green schools policy that includes a graduation requirement around sustainability literacy by 2040. While this resource focuses on K-12, there are chapters that have a relationship with higher education including Collaboration, Economic Drivers, Pre-Service Teacher Preparation and Research.",New Resources
